adjusted_100_0_3_max_peak_vel
501.86638579417263
adjusted_140_0_3_max_peak_vel
688.4941798638075
adjusted_145_0_3_max_peak_vel
804.608484307583
adjusted_150_0_3_max_peak_vel
1064.9062227512154
adjusted_152_0_3_max_peak_vel
1255.4801015436647
adjusted_154_0_3_max_peak_vel
1473.113532312416
adjusted_155_0_3_max_peak_vel
1666.830164805332
adjusted_156_0_3_max_peak_vel
1919.9254970547186
adjusted_157_0_3_max_peak_vel
2302.276069696218
adjusted_157_10_5_max_peak_vel
2145.2169020655247
adjusted_158_0_5_max_peak_vel
7693.678037146834
adjusted_158_10_5_max_peak_vel
1075.8309834763204
adjusted_159_0_5_max_peak_vel
-956.1449967513637
