Average lockin_signal,Ion velocity
0.12345278916753588,-11853.48316991719
0.1304360654461007,-11848.763861961761
0.12806106066370432,-11844.044554006332
0.1273571318092453,-11839.325245984337
0.12770809289298135,-11834.605938028908
0.1269195688545665,-11829.886630073479
0.12470329438475566,-11825.16732211805
0.12525521491935715,-11820.448014096055
0.12448558494773102,-11815.728706140626
0.12307419946672019,-11811.00939811863
0.12192211755838765,-11806.290090163202
0.12242012425904274,-11801.570782141205
0.12153300403826098,-11796.851474185776
0.12119367405336517,-11792.132166230347
0.12065477597363047,-11787.412858208352
0.11924839999500655,-11782.693550252923
0.11725454986696622,-11777.974242297494
0.11758021083324952,-11773.254934342065
0.11214468322218626,-11768.53562632007
0.110558401912903,-11763.816318364641
0.11235711252899888,-11759.097010342644
0.11013613986563979,-11754.377702387217
0.10664434482890633,-11749.65839436522
0.1096928156899735,-11744.939086409791
0.10744162143608167,-11740.219778387796
0.1053766154867453,-11735.500470432367
0.1041997846330718,-11730.781162476938
0.10211137795887532,-11726.06185452151
0.1036299839858821,-11721.34254656608
0.10232125646135729,-11716.623238544085
0.10172332488526623,-11711.903930588656
0.09896380931458702,-11707.18462256666
0.10091904650900857,-11702.465314611232
0.10079060089901587,-11697.746006589236
0.09632986776265828,-11693.026698633807
0.09466859354761839,-11688.307390611812
0.09193203753536305,-11683.588082656383
0.09342451493617908,-11678.868774700954
0.08999647638708971,-11674.149466745524
0.08963891005831759,-11669.430158790095
0.08968062257701094,-11664.7108507681
0.08862374501195347,-11659.991542812671
0.09178653311311413,-11655.272234790675
0.08857001999723872,-11650.552926835247
0.09134121238065265,-11645.83361881325
0.09050051029668002,-11641.114310857822
0.09161387139308226,-11636.395002835827
0.09312523026916944,-11631.675694880398
0.09228556608749608,-11626.956386924969
0.09467151931257635,-11622.23707896954
0.09062180771182904,-11617.51777101411
0.09450152657334633,-11612.798462992116
0.09645238845490302,-11608.079155036687
0.09684779412787141,-11603.35984701469
