Average lockin_signal,Ion velocity
0.8200073001355934,-5238.984568955267
0.8101345265701753,-5234.025477205336
0.8083197476973725,-5229.066385455406
0.8052024392766228,-5224.107293772044
0.8029809090838571,-5219.148202022114
0.8000195077008796,-5214.189110338751
0.7971968535943046,-5209.230018588821
0.794408339404495,-5204.270926838891
0.7909398377974082,-5199.311835088961
0.7876794782487477,-5194.352743405598
0.7839525156433588,-5189.393651655668
0.7808132367343847,-5184.434559972306
0.7772773523211839,-5179.475468222375
0.7723020804906375,-5174.516376472445
0.7686361687965155,-5169.557284789083
0.7623880114116105,-5164.598193039153
0.7576774188730824,-5159.6391013557895
0.7525412146992108,-5154.68000960586
0.7480209016888519,-5149.7209179224965
0.7435143112283378,-5144.761826106
0.7384276384980841,-5139.802734422637
0.7339249026692599,-5134.843642672707
0.7279848473557842,-5129.8845509893445
0.7233761821584713,-5124.925459239414
0.7182531395497859,-5119.966367556051
0.7123414520542782,-5115.0072758061215
0.7059686519978917,-5110.0481840561915
0.7007243177346949,-5105.089092372828
0.6968160390206932,-5100.1300006228985
0.6917022348319813,-5095.170908939535
0.6868904659560469,-5090.211817189605
0.6812349496447287,-5085.2527254396755
0.675489998261941,-5080.293633689746
0.6692958724491836,-5075.334542006383
0.6639319019294735,-5070.3754502564525
0.6582255151682941,-5065.41635857309
0.6523496794244906,-5060.45726682316
0.6448621993694166,-5055.49817507323
0.6389159759465751,-5050.5390833233005
0.6343737236006293,-5045.579991639937
0.6280979574081453,-5040.620899890007
0.6210595905014186,-5035.661808206644
0.6153937265367417,-5030.702716456714
0.6110243099628089,-5025.743624706784
0.6047262489887592,-5020.784533023421
0.5978166368055795,-5015.825441273491
0.5913337184693788,-5010.866349590129
0.5859432656686936,-5005.907257840199
0.5807609347742148,-5000.948166156836
0.5744706952371726,-4995.989074340339
0.5678049958982448,-4991.029982656976
0.562272285570596,-4986.070890907046
0.5567692568349817,-4981.111799223683
0.5494114988402957,-4976.152707473753
0.5433087851745955,-4971.193615790391
0.536297987936939,-4966.23452404046
0.52965165445765,-4961.27543229053
0.5228671668017985,-4956.3163405406
0.5174616447127602,-4951.357248857238
0.5111683432431465,-4946.398157107308
0.505208319290455,-4941.439065423945
0.49924422833124416,-4936.479973674015
0.4932517394002723,-4931.520881924085
0.48883213269884374,-4926.561790240722
0.4816532870327708,-4921.602698490792
0.47603737377661987,-4916.64360680743
0.46949899882668955,-4911.684514990932
0.4634681207635273,-4906.725423307569
0.45825169663436255,-4901.766331557639
0.45312524298008006,-4896.807239874277
0.4490071079622645,-4891.848148124347
0.44453035486973863,-4886.889056440984
0.43907170624941905,-4881.929964691054
0.434006163246573,-4876.970872941124
0.4301015941119789,-4872.011781257761
0.42395165985954053,-4867.052689507831
0.42009868082591295,-4862.093597824468
0.4158695836107344,-4857.134506074538
0.41167762581601997,-4852.175414324608
0.40639267458639905,-4847.216322574678
0.40233065830852643,-4842.257230891316
0.3968886477405177,-4837.298139141386
0.39253212166781204,-4832.339047458023
0.38805637948792304,-4827.379955708093
0.3828439871268917,-4822.420863958163
0.3773135449840153,-4817.461772208233
0.3720128166501323,-4812.50268052487
0.3668167983965639,-4807.54358877494
0.3636305670120926,-4802.584497091577
0.35805435962438653,-4797.625405341647
0.3547464301561856,-4792.666313591717
0.35094226056926303,-4787.707221908355
0.34619525073368485,-4782.748130158424
0.3417972340296843,-4777.789038475062
0.33781074699511465,-4772.829946725132
0.33225377807571166,-4767.870855041769
0.32761494538293234,-4762.911763225272
0.3239272795569959,-4757.952671541909
0.31907367344292287,-4752.993579791979
0.3140920866749312,-4748.034488108616
0.3130734228825139,-4743.075396358686
0.30849483465878474,-4738.116304675324
0.30322244136948284,-4733.157212925394
0.3006864451343143,-4728.198121175463
0.29744113840686337,-4723.239029425533
0.29238309715513333,-4718.279937742171
0.2881509869413795,-4713.320845992241
0.2839911219636814,-4708.361754308878
0.2807680650387213,-4703.402662558948
0.27645362312653443,-4698.443570809018
0.27300957887766897,-4693.484479125655
0.2688349415106554,-4688.525387375725
0.2642495090480122,-4683.5662956923625
0.26134484089642934,-4678.6072039424325
0.2574395585279653,-4673.648112192502
0.2512766443643941,-4668.689020442572
0.24749773648383755,-4663.7299287592095
0.2444149055029537,-4658.77083700928
0.24086684209063497,-4653.8117453259165
0.23757596300120754,-4648.852653575987
0.23407992805222935,-4643.893561826057
0.22967961047048524,-4638.9344701426935
0.2262312949161637,-4633.975378392764
0.2232246773878121,-4629.016286709401
0.2189859655717195,-4624.0571949594705
0.2156701020399136,-4619.098103276108
0.21255612456824385,-4614.139011459611
0.2099473624613582,-4609.179919776248
0.20691182242126568,-4604.2208280263185
0.20437796430773467,-4599.261736342955
0.20134126841772165,-4594.302644593025
0.19834367894980148,-4589.343552909662
0.1943439891895107,-4584.384461093166
0.1914811586900786,-4579.425369409802
0.18654230508427544,-4574.4662776598725
0.1844197849040047,-4569.507185976509
0.18211044193861886,-4564.548094226579
0.1786688083874661,-4559.589002543217
0.17799722928956718,-4554.629910793287
0.1749586496051288,-4549.670819043357
0.1721693091436428,-4544.711727359994
0.1703198356365978,-4539.752635610064
0.16732700168774034,-4534.793543926701
0.16631099819308065,-4529.834452176771
0.1645430520538232,-4524.875360426841
0.16082325515456172,-4519.916268676911
0.16045363748768535,-4514.957176993548
0.15854347252535864,-4509.998085243618
0.15768679886045045,-4505.038993560256
0.15563859153237147,-4500.079901810326
0.15551645117126917,-4495.120810060396
0.15315104587662234,-4490.161718310465
0.15275395199536843,-4485.202626627103
0.15067881066729436,-4480.243534877173
0.1500382249271506,-4475.28444319381
0.1509470725829001,-4470.32535144388
0.14944116608119135,-4465.36625969395
0.14731708162494295,-4460.407168010587
0.1471248054022672,-4455.448076260657
0.14614101121954418,-4450.488984577295
0.14529155982696618,-4445.529892827365
0.14434308040173285,-4440.570801077435
0.14319868021261983,-4435.611709327504
0.1440065451537565,-4430.652617644142
0.14294733059213785,-4425.693525894212
0.14243770040346282,-4420.734434210849
0.14176071000065868,-4415.775342460919
0.14117496210877217,-4410.816250710989
0.1388713396201813,-4405.857159027626
0.13889385807929377,-4400.898067277696
0.13796940311957767,-4395.938975594334
0.13737387525068628,-4390.979883844404
0.13685970577872267,-4386.020792161041
0.13600895275871397,-4381.061700344543
0.13569131443506263,-4376.102608661181
0.1344291480101722,-4371.143516911251
0.1321192700341495,-4366.184425227888
0.1325999906757716,-4361.225333477958
0.13157553669324115,-4356.266241794595
0.1302687777715886,-4351.307149978098
0.12969384574793433,-4346.348058294735
0.13001099021038778,-4341.388966544805
0.12903724050227697,-4336.429874861443
0.12835356114695845,-4331.470783111512
0.12706564213605662,-4326.51169142815
0.12583133479521838,-4321.55259967822
0.12532051841476108,-4316.59350792829
0.12343039904454209,-4311.634416244927
0.12079659841600639,-4306.675324494997
0.12046296340680027,-4301.716232811634
0.12005464864149688,-4296.757141061704
0.11847905584099885,-4291.798049311774
0.11801355527888154,-4286.838957561844
0.11623520600076817,-4281.879865878482
0.11429872219827672,-4276.920774128551
0.11344851630797863,-4271.961682445189
0.11179000732027193,-4267.002590695259
0.109922055814867,-4262.043498945329
0.10887857192398591,-4257.084407195399
0.10740967876719971,-4252.125315512036
0.10641066698445603,-4247.166223762106
0.10538444513387528,-4242.207132078743
0.10360239662194917,-4237.248040328813
0.10262998454357206,-4232.288948578883
0.1032236672488465,-4227.329856895521
0.10120085522016826,-4222.37076514559
0.10204674661930484,-4217.411673462228
0.09923050259695061,-4212.452581712298
0.09908598628601328,-4207.4934900289345
0.09804002282657516,-4202.534398212438
0.0969242479560378,-4197.575306529075
0.09815691309482906,-4192.616214779145
0.09842323870798005,-4187.657123095782
0.09856163979388323,-4182.698031345852
0.09872352842935847,-4177.738939662489
0.09940554763868328,-4172.779847912559
0.09944416619318676,-4167.820756162629
0.09933653080188609,-4162.861664479266
0.10041969002950642,-4157.9025727293365
0.10120715963249768,-4152.943481045973
0.10091454256317936,-4147.984389296043
0.10172301401232844,-4143.0252975461135
0.10245416447936233,-4138.066205796184
0.10271348334688846,-4133.10711411282
0.10402586607780133,-4128.1480223628905
