# 18/12/2020 - 13:57:44
# First line : dt
# Next lines : wavelength ramps[V], iodine signal[V], lockin signal[V], laser power[mW]
2.200000000E-2	NaN	NaN	NaN
-9.441376028E+0	5.506959872E-1	5.090966968E-3	6.065309780E-5
-9.431394533E+0	5.509856859E-1	5.734913159E-3	6.275799110E-5
-9.421735023E+0	5.510500634E-1	3.159128398E-3	6.721415506E-5
-9.413041464E+0	5.510178747E-1	4.125047683E-3	6.030496032E-5
-9.402737988E+0	5.505350435E-1	4.768993873E-3	6.413447399E-5
-9.394044431E+0	5.498590799E-1	5.090966968E-3	6.330429944E-5
-9.384062939E+0	5.493118712E-1	2.837155303E-3	6.434335664E-5
-9.375369383E+0	5.490543613E-1	3.159128398E-3	6.846745195E-5
-9.366353844E+0	5.495371924E-1	5.090966968E-3	6.696242453E-5
-9.358948223E+0	5.476702454E-1	5.734913159E-3	6.478254583E-5
-9.349288718E+0	5.475093017E-1	6.056886254E-3	6.613760544E-5
-9.340917147E+0	5.467689607E-1	5.412940064E-3	6.419338961E-5
-9.331579627E+0	5.458998648E-1	6.378859350E-3	6.088340415E-5
-9.322564090E+0	5.455135999E-1	5.090966968E-3	7.102760653E-5
-9.314192521E+0	5.448376364E-1	6.056886254E-3	6.544668567E-5
-9.305820953E+0	5.441294843E-1	6.056886254E-3	6.540383794E-5
-9.297449385E+0	5.436788420E-1	6.378859350E-3	6.636255609E-5
-9.289399801E+0	5.431960110E-1	3.481101493E-3	6.378098029E-5
-9.281028234E+0	5.428419349E-1	2.515182208E-3	6.678032160E-5
-9.272012701E+0	5.420050279E-1	5.734913159E-3	6.562343258E-5
-9.264285101E+0	5.414900082E-1	2.837155303E-3	6.414518592E-5
-9.254625603E+0	5.408462336E-1	4.125047683E-3	6.650716722E-5
-9.246576021E+0	5.405565350E-1	2.515182208E-3	7.094726693E-5
-9.238204457E+0	5.403955914E-1	4.768993873E-3	6.850494374E-5
-9.229832893E+0	5.393333633E-1	5.090966968E-3	6.398986293E-5
-9.221461329E+0	5.377883045E-1	5.412940064E-3	6.319718015E-5
-9.212767783E+0	5.389792873E-1	5.734913159E-3	6.514139557E-5
