140_0_5_max_peak_vel
408.89336141945597
142_0_5_max_peak_vel
416.83098081936686
144_0_5_max_peak_vel
446.7235465957374
146_0_5_max_peak_vel
389.74501300880763
148_0_5_max_peak_vel
254.32016656992087
149_0_5_max_peak_vel
330.0646041306073
150_0_5_max_peak_vel
410.1495402835506
151_0_5_max_peak_vel
1898.1215758677502
152_0_5_max_peak_vel
2395.9872123400473
153_0_5_max_peak_vel
2236.164587877665
154_4_5_max_peak_vel
301.4427028614593
154_14_5_max_peak_vel
6152.39251139144
155_0_5_max_peak_vel
392.09097858663733
155_19_5_max_peak_vel
11214.860881493656
