adjusted_140_0_5_max_peak_vel
391.7228965435215
adjusted_142_0_5_max_peak_vel
415.97268158451266
adjusted_144_0_5_max_peak_vel
458.46838437876846
adjusted_146_0_5_max_peak_vel
375.6560606847994
adjusted_148_0_5_max_peak_vel
227.29251514053445
adjusted_149_0_5_max_peak_vel
310.3949717034271
adjusted_150_0_5_max_peak_vel
393.18732950161797
adjusted_151_0_5_max_peak_vel
1894.7954383480155
adjusted_152_0_5_max_peak_vel
2395.9872123400473
adjusted_153_0_5_max_peak_vel
2182.479557825065
adjusted_154_14_5_max_peak_vel
6508.391864854873
adjusted_154_4_5_max_peak_vel
299.0674836188961
adjusted_155_0_5_max_peak_vel
374.8727796660111
adjusted_155_19_5_max_peak_vel
11580.10360645366
