adjusted_100_2_5_max_peak_vel
538.1337877919607
adjusted_135_2_5_max_peak_vel
794.5900440999144
adjusted_140_2_5_max_peak_vel
998.3155503808346
adjusted_142_2_5_max_peak_vel
1190.0663398987456
adjusted_144_2_5_max_peak_vel
1215.2370683953527
adjusted_146_2_5_max_peak_vel
1394.6941094202953
adjusted_147_2_5_max_peak_vel
1529.6797754153367
adjusted_148_2_5_max_peak_vel
1613.7108367972949
adjusted_149_2_5_max_peak_vel
1759.380865073795
adjusted_150_2_5_max_peak_vel
2049.653188159598
adjusted_151_2_5_max_peak_vel
2714.4108974289074
adjusted_152_2_5_max_peak_vel
3935.0039531057823
adjusted_153_11_5_max_peak_vel
7615.148040680808
adjusted_154_19_10_max_peak_vel
11330.059553919798
adjusted_155_19_10_max_peak_vel
14432.29014146256
adjusted_156_10_5_max_peak_vel
12591.139662715907
adjusted_156_19_5_max_peak_vel
18728.0049078692
