adjusted_100_1_max_peak_vel
444.3745839917381
adjusted_130_2_max_peak_vel
627.0895909666395
adjusted_135_-2_max_peak_vel
719.6691857359801
adjusted_140_-2_max_peak_vel
957.1799694224538
adjusted_142_2_max_peak_vel
1035.8106977203777
adjusted_144_2_max_peak_vel
1152.1387020289449
adjusted_146_2_max_peak_vel
1235.5993484016494
adjusted_148_2_max_peak_vel
1482.329582060373
adjusted_150_2_max_peak_vel
1620.3275259911018
adjusted_152_2_max_peak_vel
2199.4538422839373
adjusted_154_-10_max_peak_vel
-8691.546823404411
adjusted_154_0_29GHz_large-to-left_max_peak_vel
393.74689573878055
adjusted_154_2_max_peak_vel
4738.707983309828
adjusted_154_9_max_peak_vel
4897.477786777655
adjusted_156_-9_max_peak_vel
-10599.953427994742
adjusted_156_19_max_peak_vel
12494.071278815982
adjusted_156_2_max_peak_vel
273.1061634165764
adjusted_156_2_repeat_max_peak_vel
343.8937927186362
adjusted_157_0_29GHz_large-to-right_max_peak_vel
16365.455167423665
adjusted_158_0_29GHz_large-to-right_max_peak_vel
17472.658212049933
adjusted_158_2_max_peak_vel
311.38252499344264
