100_1_max_peak_vel
433.3850629380385
130_2_max_peak_vel
671.8641882928022
135_-2_max_peak_vel
759.4008642123325
140_-2_max_peak_vel
962.1436435986037
142_2_max_peak_vel
1013.4662147605411
144_2_max_peak_vel
1152.876673084478
146_2_max_peak_vel
1233.8868488465928
148_2_max_peak_vel
1474.1390484997344
150_2_max_peak_vel
1618.2355740327753
152_2_max_peak_vel
2202.6831616296363
154_-10_max_peak_vel
-7445.705898682988
154_0_29GHz_large-to-left_max_peak_vel
417.86147111488583
154_2_max_peak_vel
4751.060924875282
154_9_max_peak_vel
4892.71042046166
1560_2_max_peak_vel
330.07251848307243
156_-9_max_peak_vel
-8988.489313488011
156_19_max_peak_vel
12483.446370550817
156_2_max_peak_vel
273.1061634165764
156_2_repeat_max_peak_vel
344.7423853098131
157_0_29GHz_large-to-right_max_peak_vel
16344.165137888229
158_0_29GHz_large-to-right_max_peak_vel
17479.365389134015
158_2_max_peak_vel
319.59460369243465
