adjusted_100_0_5_max_peak_vel
446.33467618459423
adjusted_130_0_5_max_peak_vel
476.3822126940531
adjusted_135_0_5_max_peak_vel
448.14291868540744
adjusted_140_0_5_max_peak_vel
517.5754091132435
adjusted_141_2_5_max_peak_vel
535.9922466249177
adjusted_142_2_5_max_peak_vel
535.4462899053917
adjusted_143_2_5_max_peak_vel
565.6642989741529
adjusted_144_2_5_max_peak_vel
681.1564219167784
adjusted_145_2_5_max_peak_vel
3116.3279334372123
adjusted_146_2_5_max_peak_vel
1387.2463508108096
adjusted_147_12_10_max_peak_vel
3560.837584939372
adjusted_147_2_5_max_peak_vel
3527.38079794427
adjusted_148_0_10_max_peak_vel
5891.010194625878
adjusted_148_10_10_right_max_peak_vel
7396.677444629356
adjusted_148_19_10_max_peak_vel
6780.8941251850765
