100_0_5_max_peak_vel
464.7543597478063
130_0_5_max_peak_vel
487.99266491534627
135_0_5_max_peak_vel
443.80465615525424
140_0_5_max_peak_vel
518.1475034822884
141_2_5_max_peak_vel
525.7329641694275
142_2_5_max_peak_vel
524.6316611800219
143_2_5_max_peak_vel
576.33246649711
144_2_5_max_peak_vel
671.037737649088
145_2_5_max_peak_vel
3109.5413639666363
145_2_5_second_max_peak_vel
884.1245977743221
146_2_5_max_peak_vel
1362.680259904141
147_12_10_max_peak_vel
3417.7217585612348
147_2_5_max_peak_vel
3547.1834296692095
148_0_10_max_peak_vel
5935.620428406801
148_10_10_right_max_peak_vel
7267.925093679063
148_19_10_max_peak_vel
6708.246995331328
