Average lockin_signal,Ion velocity
0.09728259833,-5931.076775973773
0.08826735133,-5925.107738826458
0.0877307294833333,-5919.13870181228
0.0878380538533333,-5913.169664731533
0.0857988908633333,-5907.200627717354
0.0855842421366666,-5901.231590636608
0.0859062152133333,-5895.262553555861
0.0849402959,-5889.293516541681
0.0840817009566666,-5883.324479460935
0.0816132405,-5877.355442380189
0.0826864841833333,-5871.386405299442
0.0822571867066666,-5865.417368218696
0.0831157816566666,-5859.448331204516
0.0810766186433333,-5853.47929412377
0.0812912673733333,-5847.510257043024
0.08257915978,-5841.541220028844
0.0820425379533333,-5835.572182948097
0.0790374556299999,-5829.603145933918
0.0796814018333333,-5823.634108786605
0.0806473211466666,-5817.665071705858
0.07957407746,-5811.696034691679
0.07914478,-5805.726997610932
0.0791447799966666,-5799.757960596753
0.08086196988,-5793.788923516006
0.08032534804,-5787.81988643526
0.0790374556066666,-5781.850849421081
0.0790374556099999,-5775.881812340334
0.0791447799666666,-5769.912775259588
0.07914477997,-5763.943738178841
0.0766763194999999,-5757.974701098095
0.0769982926066666,-5752.005664083916
0.0780715362866666,-5746.036627003169
0.0771056169633333,-5740.067589922423
0.07592504892,-5734.098552908244
0.0759250489133333,-5728.129515827497
0.07603237328,-5722.160478813317
0.07388588593,-5716.191441666004
0.0743151833966666,-5710.222404585257
0.0759250489233333,-5704.253367571078
0.0758177245566666,-5698.284330490332
0.0737785615566666,-5692.315293476153
0.0767836438533333,-5686.346256395406
0.0757104001833333,-5680.37721931466
0.0771056169566666,-5674.40818230048
0.07946675305,-5668.439145153167
0.0786081581066666,-5662.470108138988
0.0790374555733333,-5656.501071058241
0.07978872615,-5650.532033977494
0.0798960505166666,-5644.562996963315
0.0806473210933333,-5638.593959882569
0.0809692941933333,-5632.624922801822
0.08204253788,-5626.655885787643
0.0827938084566666,-5620.686848706896
0.0836524034033333,-5614.717811626149
0.0847256470933333,-5608.748774545404
0.0854769176766666,-5602.779737464657
0.08547691767,-5596.810700450477
0.0852622689366666,-5590.841663369731
0.0870867832033333,-5584.872626355552
0.0874087563133333,-5578.903589274805
0.09062848737,-5572.934552194059
0.09223835291,-5566.96551517988
0.0908431361266666,-5560.996478032565
0.0932042722266666,-5555.0274410183865
0.0927749747566666,-5549.05840393764
0.0930969478533333,-5543.089366856893
0.0950287865033333,-5537.120329842714
0.0945994890266666,-5531.151292761968
0.09545808397,-5525.182255681221
0.0968533007866666,-5519.213218667042
0.0971752738799999,-5513.244181519728
0.0967459764266666,-5507.275144505549
0.0984631663166666,-5501.306107424803
0.0989997881699999,-5495.337070344056
0.1012535999099999,-5489.368033329877
0.10093162682,-5483.3989962491305
0.1037220604233333,-5477.429959234952
0.1051172772233333,-5471.460922154205
0.1062978453033333,-5465.491885073458
0.1067271428,-5459.522847992712
0.1090882789199999,-5453.553810911965
0.10941025201,-5447.584773897786
0.1105908200866666,-5441.61573681704
0.11123476631,-5435.646699736293
0.1115567394233333,-5429.677662722113
0.1125226587266666,-5423.708625641368
0.1137032268,-5417.739588560621
0.1130592806266666,-5411.770551546441
0.1132739293299999,-5405.801514399128
0.11338125372,-5399.832477384948
0.1138105511833333,-5393.863440304202
0.1134885780666666,-5387.894403223456
0.11241533438,-5381.925366209276
0.1116640638033333,-5375.956329128529
0.1101615226333333,-5369.987292114351
0.11080546881,-5364.018255033604
0.1106981444766666,-5358.0492178862905
0.1109127932166666,-5352.080180872111
0.1094102520466666,-5346.111143791364
0.1116640637733333,-5340.142106777185
0.10951757641,-5334.173069696439
0.1078003865166666,-5328.204032615692
0.1078003865066666,-5322.234995601513
0.1075857377466666,-5316.265958520767
0.1053319259766666,-5310.29692144002
0.1043660066333333,-5304.327884359273
0.1038293848033333,-5298.358847278527
0.1035074116966666,-5292.389810264348
0.10136092431,-5286.420773183601
0.0995364100633333,-5280.451736102855
0.0981411932866666,-5274.482699088676
0.09556540842,-5268.513662007929
0.09331159668,-5262.54462499375
0.0941701916366666,-5256.575587913004
0.0915944067666666,-5250.6065507656895
0.0893405950466666,-5244.637513751511
0.0898772168733333,-5238.668476670764
0.0898772168933333,-5232.699439656585
0.08794537824,-5226.730402575839
0.0861208640166666,-5220.761365495092
0.0853695934333333,-5214.792328480912
0.0826864842533333,-5208.823291400166
0.0808619699966666,-5202.85425431942
0.0804326725266666,-5196.885217238673
0.0790374557466666,-5190.916180157927
0.07742759021,-5184.947143143747
0.0767836440366666,-5178.978106063001
0.0744225079333333,-5173.009068982255
0.0757104003666666,-5167.040031968075
0.0747444810333333,-5161.070994887328
0.0697002357266666,-5155.101957873149
0.06851966769,-5149.132920725836
0.0677683970933333,-5143.163883645089
0.0656219097566666,-5137.1948466309095
0.06293880056,-5131.225809550163
0.06315344929,-5125.256772535984
0.0612216106966666,-5119.287735455237
0.05950442081,-5113.318698374491
0.0583238527666666,-5107.349661360312
0.0586458258466666,-5101.380624279565
0.0574652578066666,-5095.411587198819
0.0567139872166666,-5089.442550118072
0.05585539229,-5083.473513037326
0.0560700410166666,-5077.504476023147
0.0549967973366666,-5071.5354389424
0.0559627166233333,-5065.5664018616535
0.0543528511233333,-5059.597364847475
0.05403087802,-5053.628327766728
0.0553187704333333,-5047.659290685981
0.0552114460499999,-5041.690253605235
0.0545674998466666,-5035.721216524488
0.05435285112,-5029.752179510309
0.05510412167,-5023.783142429563
0.0543528511099999,-5017.814105415384
0.0549967973166666,-5011.845068334637
0.0526356612266666,-5005.876031253891
0.05585539225,-4999.906994239711
0.0557480678866666,-4993.9379570923975
0.0534942561599999,-4987.968920078219
0.0525283368533333,-4981.999882997472
0.0546748241933333,-4976.030845916725
0.05510412168,-4970.061808902546
0.05370890489,-4964.0927718218
0.05338693177,-4958.123734741053
0.0532796074133333,-4952.154697726874
0.05177706626,-4946.185660646127
0.0519917150033333,-4940.216623565381
0.0527429855733333,-4934.247586484635
0.0523136880966666,-4928.278549403888
0.0519917149933333,-4922.309512389708
0.0519917149833333,-4916.340475308962
0.0524210124433333,-4910.371438294783
0.0512404444199999,-4904.402401214036
0.05166974188,-4898.43336413329
0.05242101245,-4892.464327052543
0.05177706625,-4886.495289971796
0.0502745251199999,-4880.5262529576175
0.05209903936,-4874.557215876871
0.0517770662566666,-4868.588178796124
0.0520990393633333,-4862.6191417819455
0.05317228305,-4856.650104701199
0.05177706628,-4850.681067620452
0.0536015805333333,-4844.712030606273
0.0537089049033333,-4838.742993458959
0.0536015805233333,-4832.77395644478
0.05564074353,-4826.804919364034
0.0552114460633333,-4820.835882283287
0.0568213115566666,-4814.866845269108
0.0584311771033333,-4808.8978081883615
0.0572506090599999,-4802.928771174183
0.0596117451366666,-4796.959734093436
0.0593970964133333,-4790.990697012689
0.06132893502,-4785.021659931943
0.06047034012,-4779.052622851196
0.0616509081199999,-4773.083585837017
0.0635827467533333,-4767.114548756271
0.06315344929,-4761.145511675524
0.0625095030933333,-4755.176474661344
0.06186555693,-4749.207437580599
0.0635827468033333,-4743.238400499852
0.0652999366699999,-4737.2693634191055
0.0627241518366666,-4731.300326338359
0.0639047199066666,-4725.33128932418
0.06487063918,-4719.362252243433
0.06454866608,-4713.393215162687
0.0636900711466666,-4707.424178148507
0.06465599048,-4701.45514106776
0.0645486660833333,-4695.486104053582
0.06476331481,-4689.517066972835
0.0672317752466666,-4683.548029825522
0.0648706391433333,-4677.578992811342
0.0656219096966666,-4671.609955730595
0.0650852878433333,-4665.640918716416
0.0651926122133333,-4659.67188163567
0.0657292340466666,-4653.702844554923
0.0671244508133333,-4647.733807540744
0.0660512071366666,-4641.764770459998
0.0677683970266666,-4635.795733379251
0.0692709381833333,-4629.826696298504
0.0694855869,-4623.857659217758
0.0694855868933333,-4617.888622203579
0.06884164068,-4611.919585122832
0.07055883056,-4605.950548042086
0.07163207423,-4599.981511027907
0.07216869607,-4594.01247394716
0.0731346153799999,-4588.043436932981
0.0728126422633333,-4582.074399785667
0.0748518052533333,-4576.1053627049205
0.0747444808933333,-4570.136325690742
0.0741005346666666,-4564.167288609995
0.07420785903,-4558.198251595816
0.0748518052466666,-4552.2292145150695
0.0735639128266666,-4546.260177434323
0.07281264224,-4540.291140420143
0.07281264224,-4534.3221033393975
0.07334926407,-4528.353066258651
0.07238334476,-4522.384029177904
0.07131010108,-4516.414992097158
0.0704515061333333,-4510.445955082978
0.07120277671,-4504.476918002232
0.0683050187766666,-4498.507880921486
0.0675537482066666,-4492.538843907306
0.0662658558,-4486.569806826559
0.0645486659066666,-4480.60076981238
0.06433401717,-4474.631732665067
0.0619728810866666,-4468.66269558432
0.0599337181033333,-4462.6936585701405
0.0591824475333333,-4456.724621489394
0.05875315006,-4450.755584475215
0.0569286358166666,-4444.7865473944685
0.0564993383466666,-4438.817510313722
0.05488947284,-4432.848473299543
0.05456749974,-4426.87943615223
0.05456749974,-4420.91039913805
0.05413820228,-4414.941362057303
0.0518843905666666,-4408.972324976557
0.0527429855033333,-4403.003287962378
0.0527429855033333,-4397.034250881631
0.0528503098733333,-4391.0652138008845
0.0517770662,-4385.096176786706
0.0519917149333333,-4379.127139705959
0.05285030987,-4373.158102625212
0.05338693171,-4367.189065544466
0.0520990393033333,-4361.220028463719
0.0516697418366666,-4355.25099144954
0.0518843905766666,-4349.281954368794
0.05199171494,-4343.312917354615
0.05124044438,-4337.343880273868
0.04995255198,-4331.374843193122
0.0493086057833333,-4325.405806178942
0.0502745251133333,-4319.4367690316285
0.0500598764033333,-4313.46773201745
0.0490939570966666,-4307.498694936703
0.05081114699,-4301.529657855956
0.0513477688433333,-4295.560620841777
0.0505964982666666,-4289.591583761031
0.0504891739066666,-4283.622546680284
0.0503818495433333,-4277.653509666105
0.0497379033433333,-4271.684472518791
0.04973790335,-4265.715435504612
0.0512404444866666,-4259.746398423866
0.0515624175933333,-4253.777361343119
0.0523136881733333,-4247.808324328939
0.0527429856366666,-4241.839287248193
0.0526356612766666,-4235.870250234014
0.0518843907066666,-4229.901213153267
0.0554260948266666,-4223.932176072521
0.0554260948399999,-4217.963138991774
0.05360158058,-4211.994101911028
0.0547821486033333,-4206.025064896849
0.0548894729833333,-4200.056027816102
0.0547821485966666,-4194.086990735355
0.05413820241,-4188.1179537211765
0.0546748242366666,-4182.14891664043
0.0558553922833333,-4176.179879559683
0.0563920141366666,-4170.210842545504
0.0553187704766666,-4164.24180539819
0.0573579334633333,-4158.272768384011
0.05521144613,-4152.303731303265
0.0545674999166666,-4146.334694222518
0.0539235537433333,-4140.365657208339
0.0542455268433333,-4134.3966201275925
0.0528503100666666,-4128.427583113414
0.0524210125833333,-4122.458546032667
0.05166974201,-4116.489508885353
0.0510257958099999,-4110.520471871174
0.0488793084533333,-4104.551434790427
0.04909395719,-4098.582397776248
0.0478060647866666,-4092.613360695502
0.04555225306,-4086.644323614755
0.0452302799533333,-4080.675286600576
0.0448009824733333,-4074.706249519829
0.0410446296333333,-4068.737212439082
0.04168857583,-4062.768175358337
0.0394347641166666,-4056.79913827759
0.0379322229966666,-4050.8301012634106
0.0375029255,-4044.861064182664
0.0365370062,-4038.892027101917
0.0348198163333333,-4032.9229900877385
0.0358930599966666,-4026.953953006992
0.03471249196,-4020.9849159928126
0.0331026264566666,-4015.015878912066
0.0349271406766666,-4009.046841764753
0.0337465726433333,-4003.077804750573
0.0316000853,-3997.108767669826
0.03439051883,-3991.1397306556473
0.03417587009,-3985.170693574901
0.0352491137566666,-3979.2016564941546
0.03642968177,-3973.2326194799753
0.0367516548666666,-3967.2635823992287
0.0360003842966666,-3961.294545318482
