Average lockin_signal,Ion velocity
0.13830772373674682,-6086.2016581550915
0.14258526674591246,-6080.236654852895
0.14312310464860176,-6074.271651484132
0.14429801135207457,-6068.306648181936
0.1450245228119606,-6062.341644813173
0.1459046030112489,-6056.37664144441
0.14619313134182416,-6050.411638142214
0.14746290895398806,-6044.446634773451
0.1469116487820972,-6038.481631471255
0.148539430776836,-6032.516628102491
0.14750594111157747,-6026.551624733728
0.14810263321132291,-6020.586621431533
0.14979216527964484,-6014.621618062769
0.1497137038958877,-6008.656614760574
0.15031421889079916,-6002.6916113918105
0.14947256773276224,-5996.726608089614
0.15162525285837147,-5990.761604720851
0.15192708365835078,-5984.796601418655
0.15251200077140917,-5978.831598049892
0.1525846255074536,-5972.866594681129
0.15439767345033034,-5966.901591378933
0.1534128549096449,-5960.9365880101695
0.15553206960464278,-5954.971584707974
0.1560415496158846,-5949.00658133921
0.15649600154401344,-5943.041578037015
0.15805821890578167,-5937.076574668252
0.15702517435479973,-5931.111571366056
0.15894155246858194,-5925.146567997293
0.15939568565333734,-5919.1815646285295
0.16156055087252502,-5913.216561326333
0.16279086514933636,-5907.25155795757
0.16528541939566935,-5901.286554655374
0.1641396868608898,-5895.321551286611
0.1659381059615112,-5889.356547984416
0.16711996850056235,-5883.3915446156525
0.16988660805068095,-5877.426541313456
0.16909002384003324,-5871.461537944693
0.17016496506975792,-5865.49653457593
0.16832117409647906,-5859.531531273734
0.16849945546908757,-5853.566527904971
0.16840225936043624,-5847.601524602775
0.16792676916882932,-5841.6365212340115
0.1669581838609103,-5835.671517931815
0.16782581781343295,-5829.706514563052
0.16849771267281946,-5823.741511260857
0.1653493469471395,-5817.776507892094
0.16597044386278487,-5811.81150452333
0.16387766686724162,-5805.8465012211345
0.162752520238936,-5799.8814978523715
0.16094053457527044,-5793.916494550175
0.1593020884862804,-5787.951491181412
0.15792659940924986,-5781.986487879216
0.15801769953045014,-5776.021484510453
0.1567618380191226,-5770.056481208257
0.15453817062541111,-5764.091477839494
0.15216890522626386,-5758.1264744707305
0.1498431339607272,-5752.161471168535
0.1486329858120249,-5746.196467799771
0.14557177108933347,-5740.231464497576
0.14456689295725025,-5734.266461128813
0.14290202018229514,-5728.301457826617
0.14244516065667065,-5722.3364544578535
0.1416168657600904,-5716.37145108909
0.14089326912722805,-5710.406447786894
0.13983584483452352,-5704.441444418131
0.13834214571662848,-5698.476441115935
0.14050460746150106,-5692.511437747172
0.13945487145915472,-5686.546434378409
0.13844661382475865,-5680.5814310762125
0.13675890836239832,-5674.6164277074495
0.13660366612022318,-5668.651424338686
0.13739843337741725,-5662.686421036491
0.13705391695813646,-5656.721417667727
0.1364558212712407,-5650.756414365532
0.1366322566201927,-5644.791410996769
0.13580526724209713,-5638.826407628005
0.13606401336279378,-5632.861404325809
0.13444503438718125,-5626.896400957046
0.13602985605040782,-5620.93139765485
0.13327544023122356,-5614.966394286087
0.13312353007359903,-5609.001390983891
0.13202273763110978,-5603.036387615128
0.13256061735665636,-5597.071384312932
0.1312588733914097,-5591.106380944168
0.13156809555682233,-5585.141377575405
0.1296941774751746,-5579.17637427321
0.13016191529453924,-5573.211370904447
0.12800341502196438,-5567.246367602251
0.12838071623717937,-5561.281364233488
0.12711763404442844,-5555.3163609312915
0.12664732518234856,-5549.351357562528
0.12567493476229502,-5543.386354260332
0.12553943486797647,-5537.421350891569
0.12484054453162867,-5531.456347522806
0.126301348483932,-5525.49134422061
0.12731330237112587,-5519.526340851847
0.12796733101612984,-5513.561337549651
0.12618952460391966,-5507.596334180888
0.1259900728860773,-5501.631330878692
0.1278859301906931,-5495.666327509929
0.12806626171824692,-5489.701324207733
0.12899142044815787,-5483.73632083897
0.12843286148063907,-5477.771317470207
0.12834118426958116,-5471.80631416801
0.13066389872053802,-5465.841310799247
0.13111846397738003,-5459.876307497051
0.13241349670222785,-5453.911304128288
0.13351085125789203,-5447.946300826093
0.13344590574473605,-5441.98129745733
0.13160215445499812,-5436.016294155133
0.1329725808280866,-5430.05129078637
0.13338722811777248,-5424.086287417607
0.13408061450924022,-5418.121284115411
0.1334608402897585,-5412.156280746648
0.13383768130032658,-5406.191277444452
0.13336311279747054,-5400.226274075689
0.13166208401354723,-5394.261270773493
0.13199516531402875,-5388.296267404729
0.12952864982590856,-5382.331264102534
0.12989194378871896,-5376.366260733771
0.12799522194301505,-5370.401257365007
0.12771957252728408,-5364.436254062812
0.12758116857661933,-5358.471250694049
0.12540515394041812,-5352.506247391852
0.12365723548213119,-5346.541244023089
0.12082705088392845,-5340.576240720893
0.12059638001277466,-5334.61123735213
0.12056448602345035,-5328.646234049935
0.11851251083362346,-5322.681230681171
0.11802542640556427,-5316.716227312408
0.11717611494725375,-5310.751224010212
0.11568475234092408,-5304.786220641448
0.11532908059473115,-5298.821217339253
0.11394207403271842,-5292.85621397049
0.11350164056637194,-5286.891210601727
0.1115407662218066,-5280.926207299531
0.11015717953684008,-5274.961203930768
0.10882324148655498,-5268.996200562005
0.10895313387633387,-5263.031197259808
0.10893770371976767,-5257.066193891045
0.10729346669410385,-5251.101190588849
0.10638687435444535,-5245.136187220086
0.10628642159534762,-5239.171183851323
0.104531496973679,-5233.206180549127
0.1033077297442826,-5227.241177180364
0.10185435399971329,-5221.276173878168
0.10170590415379226,-5215.311170509404
0.10056627638547051,-5209.346167207209
0.09981853507150187,-5203.381163838446
0.09922960366595271,-5197.416160469683
0.09712104521309009,-5191.451157167487
0.09493955466417998,-5185.4861537987235
0.09257048508709227,-5179.521150496527
0.0876355628639223,-5173.556147127764
0.08638007590483912,-5167.591143825568
0.08522847511172232,-5161.626140456805
0.08268051831566156,-5155.66113715461
0.08246690701426716,-5149.696133785846
0.0805173803201537,-5143.731130417083
0.08089257120846079,-5137.766127114887
0.08004593624489577,-5131.801123746124
0.08011857454108552,-5125.836120443928
0.0786050819472722,-5119.871117075165
0.07899746291485825,-5113.906113772969
0.07795804991060558,-5107.941110404206
0.07754109313069929,-5101.976107102009
0.0763294624048558,-5096.011103733246
0.07430283870153966,-5090.046100364483
0.07344759783552934,-5084.081097062288
0.07435756712880773,-5078.116093693524
0.07232174460463626,-5072.151090391329
0.07295276324205965,-5066.1860870225655
0.07175365854335901,-5060.221083720369
0.07094020554343086,-5054.256080351606
0.07109292914564677,-5048.29107704941
0.06979417955020906,-5042.326073680647
0.07038360730527086,-5036.361070311884
0.06952846539487992,-5030.396067009688
0.0697742299054254,-5024.431063640925
0.06955188020548858,-5018.466060338729
0.07032087388335015,-5012.501056969965
0.07032455668745737,-5006.53605366777
0.07054690018659802,-5000.571050299007
0.06810994626704392,-4994.606046996811
0.06789331525582509,-4988.641043628048
0.06835902101393206,-4982.6760402592845
0.06796184852097872,-4976.711036957088
0.06696935875100017,-4970.746033588325
0.06803522593711514,-4964.781030286129
0.06744601079577824,-4958.816026917366
0.06788345717413974,-4952.851023615171
0.06579878928270952,-4946.886020246407
0.06703328109163242,-4940.921016944211
0.06427052793353807,-4934.956013575448
0.06517855282317826,-4928.991010206685
0.06459623756612835,-4923.026006904489
0.06399184716755535,-4917.061003535726
0.06377594247405863,-4911.09600023353
0.06190277978107779,-4905.1309968647665
0.06084063614882853,-4899.1659934960035
0.06017918937631349,-4893.200990193807
0.060327897206179315,-4887.235986825044
0.061079024960737874,-4881.270983522848
0.0594451335698291,-4875.305980154085
0.058250776486038824,-4869.340976785322
0.057560607556021035,-4863.3759734831265
0.0577324619114117,-4857.4109701143625
0.05863023674730792,-4851.445966745599
0.056454112564837414,-4845.480963443404
0.05902020820119906,-4839.515960074641
0.0551146218609152,-4833.550956772445
